word,count,GPE,date,article_index
Afghanistan_2010-06-26_5167,15,Afghanistan,2010-06-26,5167
Gaza_2007-06-18_3363,15,Gaza,2007-06-18,3363
Afghanistan_2021-04-14_8762,15,Afghanistan,2021-04-14,8762
Pakistan_2011-10-23_6086,15,Pakistan,2011-10-23,6086
Kabul_2014-12-16_7488,15,Kabul,2014-12-16,7488
Pakistan_2018-01-05_8304,15,Pakistan,2018-01-05,8304
Australia_2021-08-17_9005,15,Australia,2021-08-17,9005
Pakistan_2009-01-27_4255,15,Pakistan,2009-01-27,4255
Iran_2001-09-27_686,15,Iran,2001-09-27,686
Afghanistan_2010-12-16_5637,15,Afghanistan,2010-12-16,5637
Iraq_2004-03-20_2509,15,Iraq,2004-03-20,2509
Pakistan_2010-07-27_5257,15,Pakistan,2010-07-27,5257
Afghanistan_2008-06-08_3881,15,Afghanistan,2008-06-08,3881
Iran_2007-04-24_3297,15,Iran,2007-04-24,3297
Afghanistan_2021-08-15_8960,15,Afghanistan,2021-08-15,8960
Pakistan_2015-05-12_7636,15,Pakistan,2015-05-12,7636
Pakistan_2008-09-06_4046,15,Pakistan,2008-09-06,4046
Iraq_2003-04-01_2268,15,Iraq,2003-04-01,2268
Afghanistan_2006-10-02_3087,15,Afghanistan,2006-10-02,3087
Afghanistan_2006-03-21_2879,15,Afghanistan,2006-03-21,2879
Australia_2021-07-10_8852,15,Australia,2021-07-10,8852
Delaware_2019-03-16_8456,15,Delaware,2019-03-16,8456
Afghanistan_2011-05-10_5865,15,Afghanistan,2011-05-10,5865
Pakistan_2009-04-24_4410,15,Pakistan,2009-04-24,4410
Afghanistan_2021-09-22_9522,15,Afghanistan,2021-09-22,9522
Iran_2015-10-15_7782,15,Iran,2015-10-15,7782
London_2002-11-17_2155,15,London,2002-11-17,2155
Afghanistan_2000-08-19_191,15,Afghanistan,2000-08-19,191
Afghanistan_2021-08-13_8939,15,Afghanistan,2021-08-13,8939
Karzai_2008-07-19_3957,15,Karzai,2008-07-19,3957
Iran_2001-11-06_1210,15,Iran,2001-11-06,1210
Australia_2021-08-13_8939,15,Australia,2021-08-13,8939
Afghanistan_2017-08-22_8230,15,Afghanistan,2017-08-22,8230
Pakistan_2010-11-30_5540,15,Pakistan,2010-11-30,5540
Afghanistan_2021-08-22_9124,15,Afghanistan,2021-08-22,9124
Pakistan_2011-05-05_5853,15,Pakistan,2011-05-05,5853
Britain_2001-12-16_1583,15,Britain,2001-12-16,1583
Israel_2001-11-20_1396,15,Israel,2001-11-20,1396
Iran_2006-08-23_3024,15,Iran,2006-08-23,3024
Egypt_2011-02-02_5700,15,Egypt,2011-02-02,5700
America_2002-08-27_2038,15,America,2002-08-27,2038
Pakistan_2001-10-09_856,15,Pakistan,2001-10-09,856
Iraq_2010-08-02_5290,15,Iraq,2010-08-02,5290
Afghanistan_2001-09-18_507,15,Afghanistan,2001-09-18,507
Pakistan_2005-07-24_2772,15,Pakistan,2005-07-24,2772
Afghanistan_2013-01-13_6614,15,Afghanistan,2013-01-13,6614
India_2002-01-06_1651,15,India,2002-01-06,1651
Kabul_2001-09-25_649,15,Kabul,2001-09-25,649
Kabul_2006-11-28_3139,15,Kabul,2006-11-28,3139
America_2009-05-21_4470,15,America,2009-05-21,4470
Karzai_2013-12-04_6998,15,Karzai,2013-12-04,6998
Qatar_2017-07-01_8211,15,Qatar,2017-07-01,8211
Pakistan_2010-09-27_5396,15,Pakistan,2010-09-27,5396
Karzai_2010-04-07_5044,15,Karzai,2010-04-07,5044
Iran_2009-10-22_4796,15,Iran,2009-10-22,4796
Pakistan_2013-05-29_6768,15,Pakistan,2013-05-29,6768
Afghanistan_2021-09-08_9419,15,Afghanistan,2021-09-08,9419
Iran_2001-09-27_677,15,Iran,2001-09-27,677
Afghanistan_2011-12-07_6143,15,Afghanistan,2011-12-07,6143
Syria_2015-09-09_7734,15,Syria,2015-09-09,7734
Afghanistan_2008-07-16_3950,15,Afghanistan,2008-07-16,3950
Afghanistan_2013-12-04_6998,15,Afghanistan,2013-12-04,6998
